original_index,positive_sentences,integrated_sentences,doi
153/355,"The peak around 2 eV originates from the t↑ 2g-t↓ 2g and e↑ g-e↓ g transitions, i.e., vertical transitions to the unoccupied minority states above the Fermi energy EFermi from the occupied majority states just below the EFermi in Fig. 1.","As shown in the ﬁgure, QSGW gives smaller Ex and 3d bandwidth, which is consistent with results by Sponza et al. Roughly speaking, the shape of −Im[K+−(q = 0, ω)] agrees with the shape of the density of states (DOS) of the majority spin. The peak around 2 eV originates from the t↑ 2g-t↓ 2g and e↑ g-e↓ g transitions, i.e., vertical transitions to the unoccupied minority states above the Fermi energy EFermi from the occupied majority states just below the EFermi in Fig. 1.",134/10.1103/PhysRevB.100.054419
154/355,The second peak around 4 eV stems from another e↑ g-e↓ g transition to EFermi + 2 eV in minority states from EFermi −2 eV in majority states.,"The peak around 2 eV originates from the t↑ 2g-t↓ 2g and e↑ g-e↓ g transitions, i.e., vertical transitions to the unoccupied minority states above the Fermi energy EFermi from the occupied majority states just below the EFermi in Fig. 1. The second peak around 4 eV stems from another e↑ g-e↓ g transition to EFermi + 2 eV in minority states from EFermi −2 eV in majority states.",134/10.1103/PhysRevB.100.054419
156/355,One is that the width of the peak around 2 eV in QSGW is wider than that in LDA.,"We see two features in the difference between LDA and QSGW in −Im[K+−(q = 0, ω)] shown in Fig. 2(a). One is that the width of the peak around 2 eV in QSGW is wider than that in LDA.",134/10.1103/PhysRevB.100.054419
157/355,The difference of DOS in LDA and QSGW cannot explain this fact; it can be due to the difference of eigenfunctions.,One is that the width of the peak around 2 eV in QSGW is wider than that in LDA. The difference of DOS in LDA and QSGW cannot explain this fact; it can be due to the difference of eigenfunctions.,134/10.1103/PhysRevB.100.054419
158/355,"The peak becomes wider in QSGW, probably because of the general tendency of QSGW that it makes a more signiﬁcant difference between occupied 3d states and unoccupied 3d states.","The difference of DOS in LDA and QSGW cannot explain this fact; it can be due to the difference of eigenfunctions. The peak becomes wider in QSGW, probably because of the general tendency of QSGW that it makes a more signiﬁcant difference between occupied 3d states and unoccupied 3d states.",134/10.1103/PhysRevB.100.054419
165/355,"other is the width due to the 3d band; corresponding to the width of the 3d band shown in the inset of Fig. 2(a), we see a narrower width in −Im[K+−(q = 0, ω)] in QSGW.","The inset shows the BZ for hcp Co and its symmetry lines. other is the width due to the 3d band; corresponding to the width of the 3d band shown in the inset of Fig. 2(a), we see a narrower width in −Im[K+−(q = 0, ω)] in QSGW.",134/10.1103/PhysRevB.100.054419
182/355,"Reference [35] explains how such anomalies can be traced back to the band structures, although it does not give an explicit analysis.","We checked calculations with a denser q-point mesh (60 × 60 × 60) and conﬁrmed the strong anomaly at 2/3 along -N in LDA, and especially in QSGW. Reference [35] explains how such anomalies can be traced back to the band structures, although it does not give an explicit analysis.",134/10.1103/PhysRevB.100.054419
183/355,"Real metals such as Fe can have complicated band structures, resulting in too complicated Fermi-surface- nesting-like phenomena to be analyzed.","Reference [35] explains how such anomalies can be traced back to the band structures, although it does not give an explicit analysis. Real metals such as Fe can have complicated band structures, resulting in too complicated Fermi-surface- nesting-like phenomena to be analyzed.",134/10.1103/PhysRevB.100.054419
193/355,"Our value D = 155 meV Å 2 is too low in comparison with the other data 248, 250 meV Å 2, although there is a smaller difference from D = 189 meV Å 2 in TDDFT.","Note that we see a contradiction between our LR (LDA) and the other two previous calculations, the LR (GGA) and the LF. Our value D = 155 meV Å 2 is too low in comparison with the other data 248, 250 meV Å 2, although there is a smaller difference from D = 189 meV Å 2 in TDDFT.",134/10.1103/PhysRevB.100.054419
199/355,"Peaks at 0.7 eV and 0.8 eV in LDA and QSGW are the Stoner gaps, corresponding to the difference of peaks between majority and minority spins in DOS shown in the inset.","Figure 4(a) shows the −Im[K+−(q = 0, ω)] in Ni. Peaks at 0.7 eV and 0.8 eV in LDA and QSGW are the Stoner gaps, corresponding to the difference of peaks between majority and minority spins in DOS shown in the inset.",134/10.1103/PhysRevB.100.054419
200/355,"Ex given in LDA and QSGW are about two times larger than 0.3 eV, which is the value obtained by ARPES at the L3 point [39].","Peaks at 0.7 eV and 0.8 eV in LDA and QSGW are the Stoner gaps, corresponding to the difference of peaks between majority and minority spins in DOS shown in the inset. Ex given in LDA and QSGW are about two times larger than 0.3 eV, which is the value obtained by ARPES at the L3 point [39].",134/10.1103/PhysRevB.100.054419
205/355,"In QSGW, the q dependence of −Im[K+−(q, ω)] looks slightly weakened around , probably because of the reﬂection of the ﬂattened (weakly q-dependent) 3d band.","We see that strong intensity around  gets broadened as a function of q as in the case of the homogeneous electron gas shown in Fig. 5 of Ref. [35]. In QSGW, the q dependence of −Im[K+−(q, ω)] looks slightly weakened around , probably because of the reﬂection of the ﬂattened (weakly q-dependent) 3d band.",134/10.1103/PhysRevB.100.054419
216/355,ω(q) curvature around  is smaller in QSGW.,"Let us compare the QSGW result shown in Fig. 5(b) with Fig. 5(a), where we can use black lines as a guide to the eye. ω(q) curvature around  is smaller in QSGW.",134/10.1103/PhysRevB.100.054419
217/355,"In fact, Table II shows that QSGW gives very smaller D = 449 meV Å 2 around  than D = 873 meV Å 2 in LDA.","ω(q) curvature around  is smaller in QSGW. In fact, Table II shows that QSGW gives very smaller D = 449 meV Å 2 around  than D = 873 meV Å 2 in LDA.",134/10.1103/PhysRevB.100.054419
230/355,This is probably because the bcc structure has more hybridization with sp bands than fcc and hcp.,"In QSGW, 3d bands are narrower than LDA in both the majority and minority spins in Co and Ni, in contrast to the case of Fe where there is little narrowing of DOS in the minority spins. This is probably because the bcc structure has more hybridization with sp bands than fcc and hcp.",134/10.1103/PhysRevB.100.054419
237/355,"The LF traces peaks of our Im[R+−(q, ω)] very well especially along -A-K-H-A. Around M, the black lines are slightly lower than the peak of Im[R+−(q, ω)] seen at ∼800 meV.","In these plots, two branches appear because of two atoms per primitive cell. The LF traces peaks of our Im[R+−(q, ω)] very well especially along -A-K-H-A. Around M, the black lines are slightly lower than the peak of Im[R+−(q, ω)] seen at ∼800 meV.",134/10.1103/PhysRevB.100.054419
244/355,"This agreement of the SW energy probably originates from a narrower 3d band in QSGW, resulting in weaker q depen- dence of −Im[K+−(q, ω)], rather than LDA.","These give much better agreements with experiments, consistent with the agreement in Fig. 7(b). This agreement of the SW energy probably originates from a narrower 3d band in QSGW, resulting in weaker q depen- dence of −Im[K+−(q, ω)], rather than LDA.",134/10.1103/PhysRevB.100.054419
251/355,"In its inset, Ex is ∼2.8 eV in QSGW while ∼2.2 eV in LDA.","Figure 8(a) shows −Im[K+−(q = 0, ω)] in LDA and QSGW. In its inset, Ex is ∼2.8 eV in QSGW while ∼2.2 eV in LDA.",134/10.1103/PhysRevB.100.054419
255/355,"Im[R+−(q, ω)] in LDA shows the lower peaks of ω(q) than FMM.","Figure 9 shows Im[R+−(q, ω)] in (a) LDA and (b) QSGW, together with the previous SW calculation in the FMM [11]. Im[R+−(q, ω)] in LDA shows the lower peaks of ω(q) than FMM.",134/10.1103/PhysRevB.100.054419
36/194,"The new superscripts u (“up”) and d (“down”) indicate, where needed, out-of-plane edge deformations (edge rippling).12 The edge conﬁgurations rk11 (+0.302 eV/ ˚A), rk21 (+0.134 eV/ ˚A), and rk22 + k2 (+0.034 eV/ ˚A) are all unstable, similar to the singly hydrogenated zigzag edge z1 (+0.105 eV/ ˚A) (see also Supplementary Materials).26 However, the hydrogenated reconstructed Klein edge rk22 is energetically stable with an edge formation energy of −0.030 eV/ ˚A [see Fig. 2(a)].","The subscripts indicate the number of hydrogen atoms bonded to every edge carbon atom along the periodic edge segment. The new superscripts u (“up”) and d (“down”) indicate, where needed, out-of-plane edge deformations (edge rippling).12 The edge conﬁgurations rk11 (+0.302 eV/ ˚A), rk21 (+0.134 eV/ ˚A), and rk22 + k2 (+0.034 eV/ ˚A) are all unstable, similar to the singly hydrogenated zigzag edge z1 (+0.105 eV/ ˚A) (see also Supplementary Materials).26 However, the hydrogenated reconstructed Klein edge rk22 is energetically stable with an edge formation energy of −0.030 eV/ ˚A [see Fig. 2(a)].",159/10.1103/PhysRevB.88.094106
41/194,Klein + Zigzag (rk22 + z2) Eedge = −0.030 eV/˚A Eedge = −0.107 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) 1¯100 2¯1¯10 (c) (d) Armchair (a22) Zigzag (z211) Eedge = −0.186 eV/˚A Eedge = −0.016 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 Γ X Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG.,"Magnetic zigzag edge states vanish with local defects or variations in hydrogen density (e.g., the z211 edge).18 The perfect rk22 edge should protect the magnetic 2¯1¯10〉 〈 〉 〈 〉 〈 (a) (b) Rec. Klein (rk22) Rec. Klein + Zigzag (rk22 + z2) Eedge = −0.030 eV/˚A Eedge = −0.107 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) 1¯100 2¯1¯10 (c) (d) Armchair (a22) Zigzag (z211) Eedge = −0.186 eV/˚A Eedge = −0.016 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 Γ X Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG.",159/10.1103/PhysRevB.88.094106
42/194,"2. (Color online) Structures and edge formation energies (Eedge) of hydrogenated ﬂat reconstructed Klein graphene edges, (a) rk22 and (b) rk22 + z2, with associated band structure and density of states (DOS), Fermi level at 0 eV. The lower panel gives for reference the most stable hydrogenated (c) armchair a22 and (d) zigzag z211 edges with the corresponding band structures.","Klein + Zigzag (rk22 + z2) Eedge = −0.030 eV/˚A Eedge = −0.107 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) 1¯100 2¯1¯10 (c) (d) Armchair (a22) Zigzag (z211) Eedge = −0.186 eV/˚A Eedge = −0.016 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 Γ X Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG. 2. (Color online) Structures and edge formation energies (Eedge) of hydrogenated ﬂat reconstructed Klein graphene edges, (a) rk22 and (b) rk22 + z2, with associated band structure and density of states (DOS), Fermi level at 0 eV. The lower panel gives for reference the most stable hydrogenated (c) armchair a22 and (d) zigzag z211 edges with the corresponding band structures.",159/10.1103/PhysRevB.88.094106
48/194,"PHYSICAL REVIEW B 88, 094106 (2013) 〈2¯1¯10〉 (a) (b) Klein (kud 33 ) Klein + Zigzag (kud 33 + z2) Eedge = −0.150 eV/˚A Eedge = −0.191 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG.","We note that a stable magnetic (edge) state is an important property for graphene use in spintronics.32 Just as the z1 zigzag edge can be stabilized by periodi- cally inserting double hydrogenation (z211), so can the rk22 094106-2STABLE HYDROGENATED GRAPHENE EDGE TYPES: NORMAL . . . PHYSICAL REVIEW B 88, 094106 (2013) 〈2¯1¯10〉 (a) (b) Klein (kud 33 ) Klein + Zigzag (kud 33 + z2) Eedge = −0.150 eV/˚A Eedge = −0.191 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG.",159/10.1103/PhysRevB.88.094106
49/194,"3. (Color online) Structure and formation energy Eedge of the rippled fully hydrogenated (a) Klein kud 33 and (b) mixed Klein–zigzag kud 33 + z2 edge, with associated band structures and densities of states (DOS).","PHYSICAL REVIEW B 88, 094106 (2013) 〈2¯1¯10〉 (a) (b) Klein (kud 33 ) Klein + Zigzag (kud 33 + z2) Eedge = −0.150 eV/˚A Eedge = −0.191 eV/˚A                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV)                         DOS (arb. u.) -3 -2 -1 0 1 2 3 X Γ Energy (eV) FIG. 3. (Color online) Structure and formation energy Eedge of the rippled fully hydrogenated (a) Klein kud 33 and (b) mixed Klein–zigzag kud 33 + z2 edge, with associated band structures and densities of states (DOS).",159/10.1103/PhysRevB.88.094106
103/194,This is because the C2H4 reconstructed Klein edge groups are sp3 coordinated with deeper electronic 094106-4STABLE HYDROGENATED GRAPHENE EDGE TYPES: NORMAL . . .,Scanning tunneling microscopy experi- ments under relatively low voltage bias are likely to observe a zigzag type edge. This is because the C2H4 reconstructed Klein edge groups are sp3 coordinated with deeper electronic 094106-4STABLE HYDROGENATED GRAPHENE EDGE TYPES: NORMAL . . .,159/10.1103/PhysRevB.88.094106
289/358,"[9] V.K. Dien, N.T. Han, W.-P. Su, M.-F. Lin, Spin-Dependent optical excitations in  LiFeO2, ACS Omega 6 (2021) 25664–25671.","Interfaces 12 (2020)  37258–37264. [9] V.K. Dien, N.T. Han, W.-P. Su, M.-F. Lin, Spin-Dependent optical excitations in  LiFeO2, ACS Omega 6 (2021) 25664–25671.",69/10.1016/j.jeurceramsoc.2023.02.011
6/153,"It is important in low-temperature oxidation processes in het- erogeneous catalysis, and its effect on conductivity is central to semiconductor-based gas sensing.","Adsorbed oxygen plays a key role in photocatalysis, both as an electron scavenger and as the oxidative species. It is important in low-temperature oxidation processes in het- erogeneous catalysis, and its effect on conductivity is central to semiconductor-based gas sensing.",178/10.1103/PhysRevLett.105.216101
106/153,Very recent stimulated desorption by photons and thermal desorption work [4] has shown that irradiation with above- band-gap photons not only desorbs O2 (through hole cap- ture) but also dissociates O2 through an electron-mediated process.,"We have varied the O2 exposure in our measurements as well, but we did not observe any new features or any signiﬁcant differences in adatom creation. Very recent stimulated desorption by photons and thermal desorption work [4] has shown that irradiation with above- band-gap photons not only desorbs O2 (through hole cap- ture) but also dissociates O2 through an electron-mediated process.",178/10.1103/PhysRevLett.105.216101
9/258,"For example, phonons with considerably large wave vector are required for optical absorption and emission from the indirect band gap in few-layer and bulk TMDCs.","Many of their physical processes relevant for new applica- tions [10,11], such as carrier and exciton dynamics [12–14], decay of so-called valley polarization [15–18] (the selective population of one of the two inequivalent K points in the Brillouin zone), and relaxation of spins [19,20], crucially depend on phonons. For example, phonons with considerably large wave vector are required for optical absorption and emission from the indirect band gap in few-layer and bulk TMDCs.",168/10.1103/PhysRevB.99.144309
124/258,"In particular, the understanding of scattering processes involving phonons, such as in electron transport or optical transitions involving the indirect band gap or the two K valleys, will in future be based on the knowledge of the phonon dispersion relation.","Therefore, the results are relevant for the monolayer form of MoS2 and isostructural TMDCs as well. In particular, the understanding of scattering processes involving phonons, such as in electron transport or optical transitions involving the indirect band gap or the two K valleys, will in future be based on the knowledge of the phonon dispersion relation.",168/10.1103/PhysRevB.99.144309
1/232,"124, 172103 (2024) https://doi.org/10.1063/5.0198885  CHORUS Articles You May Be Interested In First principles calculations of intrinsic mobilities in tin-based oxide semiconductors SnO, SnO2, and Ta2SnO6 J. Appl. Phys."," View Online  Export Citation RESEARCH ARTICLE |  APRIL 22 2024 Electron mobility of SnO2 from first principles  Amanda Wang    ; Kyle Bushick   ; Nick Pant   ; Woncheol Lee   ; Xiao Zhang   ; Joshua Leveillee   ; Feliciano Giustino   ; Samuel Poncé   ; Emmanouil Kioupakis  Appl. Phys. Lett. 124, 172103 (2024) https://doi.org/10.1063/5.0198885  CHORUS Articles You May Be Interested In First principles calculations of intrinsic mobilities in tin-based oxide semiconductors SnO, SnO2, and Ta2SnO6 J. Appl. Phys.",117/10.1063/5.0198885
2/232,(November 2019) Clarification of the relative magnitude of exciton binding energies in ZnO and SnO2 Appl. Phys. Lett.,"124, 172103 (2024) https://doi.org/10.1063/5.0198885  CHORUS Articles You May Be Interested In First principles calculations of intrinsic mobilities in tin-based oxide semiconductors SnO, SnO2, and Ta2SnO6 J. Appl. Phys. (November 2019) Clarification of the relative magnitude of exciton binding energies in ZnO and SnO2 Appl. Phys. Lett.",117/10.1063/5.0198885
3/232,(January 2022) Density functional theory study of the electronic and optical properties of Si incorporated SnO2 AIP Advances (November 2019)  17 June 2025 14:32:55Electron mobility of SnO2 from first principles Cite as: Appl. Phys. Lett.,(November 2019) Clarification of the relative magnitude of exciton binding energies in ZnO and SnO2 Appl. Phys. Lett. (January 2022) Density functional theory study of the electronic and optical properties of Si incorporated SnO2 AIP Advances (November 2019)  17 June 2025 14:32:55Electron mobility of SnO2 from first principles Cite as: Appl. Phys. Lett.,117/10.1063/5.0198885
6/232,"Published Online: 22 April 2024 Amanda Wang,1,a) Kyle Bushick,1 Nick Pant,1,2 Woncheol Lee,3 Xiao Zhang,1 Joshua Leveillee,4,5,b) Feliciano Giustino,4,5 Samuel Ponce,6,7 and Emmanouil Kioupakis1 AFFILIATIONS 1Department of Materials Science and Engineering, University of Michigan, Ann Arbor, Michigan 48109, USA 2Applied Physics Program, University of Michigan, Ann Arbor, Michigan 48109, USA 3Department of Electrical and Computer Engineering, University of Michigan, Ann Arbor, Michigan 48109, USA 4Oden Institute for Computational Engineering and Sciences, The University of Texas at Austin, Austin, Texas 78712, USA 5Department of Physics, The University of Texas at Austin, Austin, Texas 78712, USA 6European Theoretical Spectroscopy Facility, Institute of Condensed Matter and Nanosciences, Universite catholique de Louvain, Chemin des Etoiles 8, B-1348 Louvain-la-Neuve, Belgium 7WEL Research Institute, Avenue Pasteur, 6, 1300 Wavre, Belgium a)Author to whom correspondence should be addressed: amandw@umich.edu b)Present address: Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA; and Center for Nonlinear Studies (CNLS), Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA ABSTRACT The transparent conducting oxide SnO2 is a wide bandgap semiconductor that is easily n-type doped and widely used in various electronic and optoelectronic applications.","Accepted: 9 April 2024 . Published Online: 22 April 2024 Amanda Wang,1,a) Kyle Bushick,1 Nick Pant,1,2 Woncheol Lee,3 Xiao Zhang,1 Joshua Leveillee,4,5,b) Feliciano Giustino,4,5 Samuel Ponce,6,7 and Emmanouil Kioupakis1 AFFILIATIONS 1Department of Materials Science and Engineering, University of Michigan, Ann Arbor, Michigan 48109, USA 2Applied Physics Program, University of Michigan, Ann Arbor, Michigan 48109, USA 3Department of Electrical and Computer Engineering, University of Michigan, Ann Arbor, Michigan 48109, USA 4Oden Institute for Computational Engineering and Sciences, The University of Texas at Austin, Austin, Texas 78712, USA 5Department of Physics, The University of Texas at Austin, Austin, Texas 78712, USA 6European Theoretical Spectroscopy Facility, Institute of Condensed Matter and Nanosciences, Universite catholique de Louvain, Chemin des Etoiles 8, B-1348 Louvain-la-Neuve, Belgium 7WEL Research Institute, Avenue Pasteur, 6, 1300 Wavre, Belgium a)Author to whom correspondence should be addressed: amandw@umich.edu b)Present address: Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA; and Center for Nonlinear Studies (CNLS), Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA ABSTRACT The transparent conducting oxide SnO2 is a wide bandgap semiconductor that is easily n-type doped and widely used in various electronic and optoelectronic applications.",117/10.1063/5.0198885
29/232,"The phonons and electron–phonon matrix ele- ments were calculated using DFPT.23 The phonon dispersion and frequencies at the C point are shown in Fig. S2 and Table SI.24,25 To improve the description of the band structure, we used the G0W0 method within BerkeleyGW26,27 to calculate quasiparticle cor- rections to energies of the electronic states.28–30 The quasiparticle cor- rections improve the severely underestimated LDA bandgap (0.749eV) to a value of 3.182 eV that is in better agreement with exper- iment (Table I).","The calculated lattice parameters and other material properties of SnO2 are in good agreement with previous experimental and theoreti- cal studies (Table I). The phonons and electron–phonon matrix ele- ments were calculated using DFPT.23 The phonon dispersion and frequencies at the C point are shown in Fig. S2 and Table SI.24,25 To improve the description of the band structure, we used the G0W0 method within BerkeleyGW26,27 to calculate quasiparticle cor- rections to energies of the electronic states.28–30 The quasiparticle cor- rections improve the severely underestimated LDA bandgap (0.749eV) to a value of 3.182 eV that is in better agreement with exper- iment (Table I).",117/10.1063/5.0198885
30/232,"The G0W0 bandgap is still lower than the experimen- tal value of 3.59 eV,31 but it is the curvature of the bands that affects the calculation of transport properties.","The phonons and electron–phonon matrix ele- ments were calculated using DFPT.23 The phonon dispersion and frequencies at the C point are shown in Fig. S2 and Table SI.24,25 To improve the description of the band structure, we used the G0W0 method within BerkeleyGW26,27 to calculate quasiparticle cor- rections to energies of the electronic states.28–30 The quasiparticle cor- rections improve the severely underestimated LDA bandgap (0.749eV) to a value of 3.182 eV that is in better agreement with exper- iment (Table I). The G0W0 bandgap is still lower than the experimen- tal value of 3.59 eV,31 but it is the curvature of the bands that affects the calculation of transport properties.",117/10.1063/5.0198885
35/232,"TABLE I. Structural, electronic, and optical properties of rutile SnO2, as calculated in this work and compared to previous theoretical and experimental studies.","We assume complete donor ionization and set the carrier concentration equal to the ionized-impurity concentration. TABLE I. Structural, electronic, and optical properties of rutile SnO2, as calculated in this work and compared to previous theoretical and experimental studies.",117/10.1063/5.0198885
37/232,Semicore pseudopotentials and experimental lattice parameters were used for G0W0 quasiparticle corrections to the band structure.,The structural parameters were obtained through a relaxation with the LDA functional and valence pseudopotentials. Semicore pseudopotentials and experimental lattice parameters were used for G0W0 quasiparticle corrections to the band structure.,117/10.1063/5.0198885
39/232,a ( ˚A) c ( ˚A) u Eg (eV) m ?, denotes values from quasiparticle G0W0 calculations. a ( ˚A) c ( ˚A) u Eg (eV) m ?,117/10.1063/5.0198885
40/232,c m k c e? 0 ek 0 e? 1 ek 1 This work 4.788 3.248 0.307 3.182 0.309 0.211 14.73 10.65 5.05 5.31 Previous theory 4.72732 3.20032 0.30632 3.6532 0.2632 0.2132 1234 7.034 3.734 3.934 Experiment 4.74033 3.19033 0.30633 3.5931 0.29935 0.23435 13.536 9.5836 3.78536 4.17536 FIG.,a ( ˚A) c ( ˚A) u Eg (eV) m ? c m k c e? 0 ek 0 e? 1 ek 1 This work 4.788 3.248 0.307 3.182 0.309 0.211 14.73 10.65 5.05 5.31 Previous theory 4.72732 3.20032 0.30632 3.6532 0.2632 0.2132 1234 7.034 3.734 3.934 Experiment 4.74033 3.19033 0.30633 3.5931 0.29935 0.23435 13.536 9.5836 3.78536 4.17536 FIG.,117/10.1063/5.0198885
43/232,"(b) and (c) Conduction band energies referenced to the conduction band minimum (CBM) along high-symmetry paths X-C-X and Z-C-Z, with the effective masses along each direction labeled.","The tin atoms are shown in gray, and the oxygen atoms, in red. (b) and (c) Conduction band energies referenced to the conduction band minimum (CBM) along high-symmetry paths X-C-X and Z-C-Z, with the effective masses along each direction labeled.",117/10.1063/5.0198885
47/232,"The anisotropy in the mobilities is stronger than in the effective masses (1.64 compared to 1.46), indicating that, in addition to a directional dependence in the band curvature, there is also anisotropy in the scattering rates.","This anisotropy reflects the difference in effective masses, where m is heavier in the perpendicular direction. The anisotropy in the mobilities is stronger than in the effective masses (1.64 compared to 1.46), indicating that, in addition to a directional dependence in the band curvature, there is also anisotropy in the scattering rates.",117/10.1063/5.0198885
72/232,"(b) Spectral decomposition of the angularly averaged electron–phonon scattering rates by phonon energy at 300 K, for carriers 3kbT=2 from the band edge.","c as a function of temperature at a carrier concentration of 1017 cm3. (b) Spectral decomposition of the angularly averaged electron–phonon scattering rates by phonon energy at 300 K, for carriers 3kbT=2 from the band edge.",117/10.1063/5.0198885
93/232,"Reference 13 uses energy-averaged scattering times that assume parabolic bands and isotropy, while our work uses the BTE augmented with a magnetic field term, which takes into account the full details of the band structure and scattering processes.","This dis- crepancy could be due to the methodology differences for computing the Hall factor. Reference 13 uses energy-averaged scattering times that assume parabolic bands and isotropy, while our work uses the BTE augmented with a magnetic field term, which takes into account the full details of the band structure and scattering processes.",117/10.1063/5.0198885
144/232,"4Z. Galazka, “Tin oxide (SnO2),” in Transparent Semiconducting Oxides (Jenny Stanford Publishing, 2020), pp. 463–557.","49(12), 7098–7111 (2020). 4Z. Galazka, “Tin oxide (SnO2),” in Transparent Semiconducting Oxides (Jenny Stanford Publishing, 2020), pp. 463–557.",117/10.1063/5.0198885
163/232,"15S. Ponce, W. Li, S. Reichardt, and F. Giustino, “First-principles calculations of charge carrier mobility and conductivity in bulk semiconductors and two- dimensional materials,” Rep. Prog. Phys. 83(3), 036501 (2020).","14Z. Li, P. Graziosi, and N. Neophytou, “Electron and hole mobility of SnO2 from full-band electron–phonon and ionized impurity scattering computations,” Crystals 12(11), 1591 (2022). 15S. Ponce, W. Li, S. Reichardt, and F. Giustino, “First-principles calculations of charge carrier mobility and conductivity in bulk semiconductors and two- dimensional materials,” Rep. Prog. Phys. 83(3), 036501 (2020).",117/10.1063/5.0198885
180/232,"24P. D. Borges, L. M. R. Scolfaro, H. W. Leite Alves, and E. F. da Silva, “DFT study of the electronic, vibrational, and optical properties of SnO2,” Theor. Chem.","Phys. 73(2), 515–562 (2001). 24P. D. Borges, L. M. R. Scolfaro, H. W. Leite Alves, and E. F. da Silva, “DFT study of the electronic, vibrational, and optical properties of SnO2,” Theor. Chem.",117/10.1063/5.0198885
185/232,"26M. S. Hybertsen and S. G. Louie, “Electron correlation in semiconductors and insulators: Band gaps and quasiparticle energies,” Phys.","C: Solid State Phys. 4(15), 2421 (1971). 26M. S. Hybertsen and S. G. Louie, “Electron correlation in semiconductors and insulators: Band gaps and quasiparticle energies,” Phys.",117/10.1063/5.0198885
189/232,"28B.-C. Shih, Y. Xue, P. Zhang, M. L. Cohen, and S. G. Louie, “Quasiparticle band gap of ZnO: High accuracy from the conventional G0W0 approach,” Phys. Rev. Lett.","183(6), 1269–1289 (2012). 28B.-C. Shih, Y. Xue, P. Zhang, M. L. Cohen, and S. G. Louie, “Quasiparticle band gap of ZnO: High accuracy from the conventional G0W0 approach,” Phys. Rev. Lett.",117/10.1063/5.0198885
191/232,"29M. R. Filip, C. E. Patrick, and F. Giustino, “GW quasiparticle band structures of stibnite, antimonselite, bismuthinite, and guanajuatite,” Phys.","105(14), 146401 (2010). 29M. R. Filip, C. E. Patrick, and F. Giustino, “GW quasiparticle band structures of stibnite, antimonselite, bismuthinite, and guanajuatite,” Phys.",117/10.1063/5.0198885
197/232,"32A. Schleife, J. B. Varley, F. Fuchs, C. R€odl, F. Bechstedt, P. Rinke, A. Janotti, and C. G. Van de Walle, “Tin dioxide from first principles: Quasiparticle elec- tronic states and optical properties,” Phys.","Lett. 104(23), 231106 (2014). 32A. Schleife, J. B. Varley, F. Fuchs, C. R€odl, F. Bechstedt, P. Rinke, A. Janotti, and C. G. Van de Walle, “Tin dioxide from first principles: Quasiparticle elec- tronic states and optical properties,” Phys.",117/10.1063/5.0198885
199/232,"33P. Villars and K. Cenzual, see https://materials.springer.com/isp/crystallo graphic/docs/sd_1300805 for “SnO2 rutile-type (SnO2) crystal structure: Datasheet from ‘PAULING FILE Multinaries Edition–2022’ in SpringerMaterials.” 34M. Dou and C. Persson, “Comparative study of rutile and anatase SnO2 and TiO2: Band-edge structures, dielectric functions, and polaron effects,” J. Appl. Phys.","Rev. B 83(3), 035116 (2011). 33P. Villars and K. Cenzual, see https://materials.springer.com/isp/crystallo graphic/docs/sd_1300805 for “SnO2 rutile-type (SnO2) crystal structure: Datasheet from ‘PAULING FILE Multinaries Edition–2022’ in SpringerMaterials.” 34M. Dou and C. Persson, “Comparative study of rutile and anatase SnO2 and TiO2: Band-edge structures, dielectric functions, and polaron effects,” J. Appl. Phys.",117/10.1063/5.0198885
