passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"3.1 Electronic structure a-P displays a direct band gap of 1.12 eV while b-P has an indirect band gap of 2.05 eV (Table 1). H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.","H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.",14/10.1039/C7CP03960C,b-P,2.05,eV,1,0,1
"3.1 Electronic structure a-P displays a direct band gap of 1.12 eV while b-P has an indirect band gap of 2.05 eV (Table 1). H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.","H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.",14/10.1039/C7CP03960C,H-MoSe2,1.13,eV,1,1,1
"3.1 Electronic structure a-P displays a direct band gap of 1.12 eV while b-P has an indirect band gap of 2.05 eV (Table 1). H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.","H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.",14/10.1039/C7CP03960C,T-MoSe2,0,eV,1,1,0
"3.1 Electronic structure a-P displays a direct band gap of 1.12 eV while b-P has an indirect band gap of 2.05 eV (Table 1). H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.","H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.",14/10.1039/C7CP03960C,ZT-MoSe2,0,eV,1,1,0
"3.1 Electronic structure a-P displays a direct band gap of 1.12 eV while b-P has an indirect band gap of 2.05 eV (Table 1). H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.","H-MoSe2 is a semicon- ductor with a direct band gap of about 1.13 eV while T-MoSe2, ZT-MoSe2 and SO-MoSe2 are zero band gap materials.",14/10.1039/C7CP03960C,SO-MoSe2,0,None,1,1,0
"ZT-MoSe2 and SO-MoSe2 have been found to exhibit a Dirac-cone like feature at the Fermi level which arises due to the 4p orbitals of Se in ZT-MoSe2 and 4d-orbitals of Mo in the case of SO-MoSe2 (Fig. S2 of the ESI†). We found that a-P/H-MoSe2 and b-P/H-MoSe2 are semicon- ductors with a band gap of 0.7 eV and 1.1 eV, respectively, the former exhibiting an indirect gap while the latter has a direct band gap.","We found that a-P/H-MoSe2 and b-P/H-MoSe2 are semicon- ductors with a band gap of 0.7 eV and 1.1 eV, respectively, the former exhibiting an indirect gap while the latter has a direct band gap.",14/10.1039/C7CP03960C,a-P/H-MoSe2,0.7,eV,1,1,1
"ZT-MoSe2 and SO-MoSe2 have been found to exhibit a Dirac-cone like feature at the Fermi level which arises due to the 4p orbitals of Se in ZT-MoSe2 and 4d-orbitals of Mo in the case of SO-MoSe2 (Fig. S2 of the ESI†). We found that a-P/H-MoSe2 and b-P/H-MoSe2 are semicon- ductors with a band gap of 0.7 eV and 1.1 eV, respectively, the former exhibiting an indirect gap while the latter has a direct band gap.","We found that a-P/H-MoSe2 and b-P/H-MoSe2 are semicon- ductors with a band gap of 0.7 eV and 1.1 eV, respectively, the former exhibiting an indirect gap while the latter has a direct band gap.",14/10.1039/C7CP03960C,b-P/H-MoSe2,1.1,None,1,1,0
"Obtaining zero or even very low SBH in device contacts is one of the most crucial tasks for realizing high-performance nano-material-based FETs.34,35 The change in the electronic structure with an applied field can be quantified in terms of charge density diﬀerence profiles. Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.","Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.",14/10.1039/C7CP03960C,H-MoSe2,1.13,eV,1,1,1
"Obtaining zero or even very low SBH in device contacts is one of the most crucial tasks for realizing high-performance nano-material-based FETs.34,35 The change in the electronic structure with an applied field can be quantified in terms of charge density diﬀerence profiles. Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.","Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.",14/10.1039/C7CP03960C,T-MoSe2 (a),2.26,eV,1,0,1
"Obtaining zero or even very low SBH in device contacts is one of the most crucial tasks for realizing high-performance nano-material-based FETs.34,35 The change in the electronic structure with an applied field can be quantified in terms of charge density diﬀerence profiles. Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.","Upon applying a positive electric field, accumulation of electrons Table 1 Lattice parameter (a, b), band gap (Eg), in-plane stiﬀness, Poisson’s ratio, and lateral (eJ s) and vertical (e> s ) components of the static dielectric constant (es) of the given monolayers and heterostructures Parameter Monolayers Heterostructures H-MoSe2 T-MoSe2 ZT-MoSe2 SO-MoSe2 a-P b-P a-P/H-MoSe2 a-P/ZT-MoSe2 a-P/SO-MoSe2 b-P/H-MoSe2 b-P/T-MoSe2 a, b (Å) 3.4, 5.9 3.4, 6.1 3.38, 6.06 6.80, 6.80 3.41, 4.84 3.41, 3.41 3.41, 24.18 3.41, 24.18 6.83, 14.51 3.41, 3.41 3.41, 3.41 Supercell 1  1 1  1 1  1 1  1 1  1 1  1 1  5/1  4 1  5/1  4 2  3/1  2 1  1/1  1 1  1/1  1 Eg (eV) 1.13 (2.26)a 0 0 0 1.12 (1.94)b 2.05 0.67 0 0 1.10 0 In-plane stiﬀness (Cx, Cy) (N m1) 107.0, 107.2 123.8, 123.7 111.90, 125.21 46.10, 46.10 81.60, 60.42 277.12, 276.48 181.44, 149.96 190.43, 184.23 125.74, 110.78 701.12, 703.04 675.36, 675.20 Poisson’s ratio (nx, ny) 0.34, 0.34 0.09, 0.09 0.27, 0.30 0.63, 0.63 0.35, 0.26 0.02, 0.02 0.37, 0.30 0.32, 0.31 0.43, 0.38 0.14, 0.14 0.07, 0.07 eJ s 4.6 44.6 24.7 17.4 3.7 3.0 7.6 23.9 19.3 6.5 47.4 e> s 2.7 2.8 2.8 2.5 2.2 1.8 4.2 4.0 4.1 3.7 4.0 a GW-bandgap from ref. 31.",14/10.1039/C7CP03960C,SO-MoSe2,1.94,eV,0,1,1
