passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,None (Implicit: Probe Energy for Materials),1.95,eV,0,1,1
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,1L-WSe2 (Probe Energy),1.60,eV,0,1,1
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,1L-WS2 (Probe Energy),1.60,eV,0,1,1
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,,None,None,0,0,0
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,**Note:**,None,None,0,0,0
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,* No explicit **band gap** values are mentioned in the text.,None,None,0,0,0
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,"* The provided table lists **probe energy values**, which might be related to the materials' band gaps or specific energy levels, but without further context, they cannot be definitively labeled as band gap values.",None,None,0,0,0
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,"* If only explicit **band gap** mentions were considered, the answer would be:",None,None,0,0,0
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,+,**Material**,**Value**|**Unit**,0,1,1
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,+,---,---|---,0,1,1
"We simulated the time-dependent exciton transport at 4 and  20 K in the WS2–WSe2 60° heterobilayer (Supplementary Fig. 14). The simulations implied that, although excitons migrate shorter  Q K WSe2 K (K´) WS2 h+ e– e– Probe 1.95  eV 0.1 1 0.0 0.5 1.0 1.5 2.0 100 150 200 250 300 102 103 Decay time (ps) Temperature (K) Normalized ∆R a c b d e f 0.2 0 0.4 0.6 0.8 1.0 Probe @ 1.95 eV  Probe @ 1.95 eV ΔEK–Q 78 K 295 K Probe @ 1.95 eV  78 K 295 K 60° 0° A exciton of 1L-WSe2 Probe @1.60 eV Probe @1.60 eV  0.01 0.1 1 0.01 0.1 1 60° 0° A exciton of 1L-WS2 Pump–probe delay (ns) Pump–probe delay (ns) Pump–probe delay (ns) Probe 1.60 eV 0° 60° 0.2 0.4 0.6 0.8 1.0 0.01 0.1 1 0 Energy Normalized ∆R Normalized ∆R Normalized ∆R Fig. 4 | Twist-angle- and temperature-dependent K–K and K–Q interlayer exciton dynamics.",None|None,12/10.1038/s41563-020-0670-3,+,None,None|None,0,0,0
"The valance and conduction bands are marked by solid and dashed lines, respectively. The hole dynamics was determined by probing the  K valley of WSe2 using a probe photon energy of 1.60 eV, indicated by the blue arrow.","The hole dynamics was determined by probing the  K valley of WSe2 using a probe photon energy of 1.60 eV, indicated by the blue arrow.",12/10.1038/s41563-020-0670-3,"None (Note: WSe2 is mentioned, but no band gap value is explicitly given for it in the text) 

Corrected Answer:
WSe2",None,"eV (Note: This is actually the unit for ""probe photon energy"", not explicitly stated as the unit for **band gap**, but I provided it as per your format request; in context, the correct answer should be ""None"" since band gap's unit isn't directly mentioned)

Corrected Answer:
None",0,0,0
"The hole population corresponds to the sum of the K–K and K–Q  exciton populations. The electron dynamics was determined by probing the K valley of WS2 using a probe photon energy of 1.95 eV, indicated by the red  arrow.","The electron dynamics was determined by probing the K valley of WS2 using a probe photon energy of 1.95 eV, indicated by the red  arrow.",12/10.1038/s41563-020-0670-3,WS2,None,"None (Note: While ""eV"" is present in the text, it's associated with ""probe photon energy"", not explicitly stated as the unit for **band gap**)",1,0,0
"In contrast, electrons are located in different valleys  for the K–K and K–Q interlayer excitons. The dynamics probed at  1.95 eV reflects only the K–K interlayer exciton population (NK–K),  because only the electrons in the K valley of WS2 contribute the TA  signal.","The dynamics probed at  1.95 eV reflects only the K–K interlayer exciton population (NK–K),  because only the electrons in the K valley of WS2 contribute the TA  signal.",12/10.1038/s41563-020-0670-3,WS2,None,eV,1,0,1
"TA dynamics and transport measurements  were taken using a homebuilt TAM system, performed in the reflection mode  (schematically shown in Supplementary Fig. 5). Briefly, a Ti:sapphire oscillator  (Coherent Mira 900) pumped by a Verdi diode laser (Verdi V18) was used as the  fundamental light source (1.60 eV, 76 MHz and 200 fs).","Briefly, a Ti:sapphire oscillator  (Coherent Mira 900) pumped by a Verdi diode laser (Verdi V18) was used as the  fundamental light source (1.60 eV, 76 MHz and 200 fs).",12/10.1038/s41563-020-0670-3,"None 

(Note: The text mentions Ti:sapphire, but it's the oscillator/light source, not necessarily implying the material for which the band gap is given; the 1.60 eV value is described as part of the ""fundamental light source"", suggesting it relates to the laser, not a separate material being studied)",None,eV,0,0,1
"Briefly, a Ti:sapphire oscillator  (Coherent Mira 900) pumped by a Verdi diode laser (Verdi V18) was used as the  fundamental light source (1.60 eV, 76 MHz and 200 fs). Of the pulse energy, 70%  was fed into the optical parametric oscillator (Coherent Mira OPO) to generate  the probe beam at 2.00 eV, and the remaining 30% served as the pump beam.","Of the pulse energy, 70%  was fed into the optical parametric oscillator (Coherent Mira OPO) to generate  the probe beam at 2.00 eV, and the remaining 30% served as the pump beam.",12/10.1038/s41563-020-0670-3,None,None,None,0,0,0
"The diffusion constants for 295 and 78 K are fitted to be 0.15 ± 0.04 and 0.44 ± 0.03 cm−2 s−1  respectively. The pump and probe photon energies are 3.10 eV and 1.96 eV, respectively.","The pump and probe photon energies are 3.10 eV and 1.96 eV, respectively.",12/10.1038/s41563-020-0670-3,None,None,"None (implied: could be eV if referring to photon energies, but not explicitly for band gap) 
 Corrected answer as per format:
 None",0,0,0
"Nature Materials | www.nature.com/naturematerialsArticles Nature Materials Extended Data Fig. 8 | Temperature-dependent exciton dynamics in the 1L-WS2. Pump and probe photon energies are 3.1 and 2.0 eV, respectively.","Pump and probe photon energies are 3.1 and 2.0 eV, respectively.",12/10.1038/s41563-020-0670-3,1L-WS2,None,None,1,0,0
"Figure 4a shows a plot of electroluminescence intensity as a function of current and photon energy. There are three main spectral features: a narrow higher-energy peak (green arrow), a broad central peak (brown arrow) and a lower-energy WSe2 monolayer 1.55 1.60 1.65 Photon energy (eV) 1.70 1.75 Normalized intensity (a.u.) a b Figure 3 | Photoluminescence and electroluminescence.","There are three main spectral features: a narrow higher-energy peak (green arrow), a broad central peak (brown arrow) and a lower-energy WSe2 monolayer 1.55 1.60 1.65 Photon energy (eV) 1.70 1.75 Normalized intensity (a.u.) a b Figure 3 | Photoluminescence and electroluminescence.",90/10.1038/nnano.2014.26,WSe2 monolayer,"None (implied related to photon energy, but not explicitly stated as band gap)",None,0,0,0
"The photoluminescence feature that is strongest at Vg ¼ 0 is due to Xo recombination. It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission.","It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission.",90/10.1038/nnano.2014.26,None,"None 

*Note: The value mentioned (1.69) is related to a ""position"" (likely an energy level), but it's not explicitly stated as the **band gap**. Based on common materials science context, this could be interpreted as a characteristic energy (e.g., emission peak), but without explicit labeling as band gap, I've marked it as ""None"". 

If you'd like to assume it might relate to band gap in some contexts or for the sake of extraction, here is an alternative response:

1.69",eV,0,0,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,Xo Emission Peak,1.69,eV,0,1,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,X2 Emission Peak (Min),1.625,eV,0,1,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,X2 Emission Peak (Max),1.663,eV,0,1,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,,None,None,0,0,0
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,**Note:** None of these are explicitly stated as **band gap** values in the text. These are emission peak positions. If you're looking strictly for **band gap**:,None,None,0,0,0
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,,None,None,0,0,0
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,**Material**,**Value**,**Unit**,0,1,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,---,---,---,0,1,1
"It has a similar width to, and is at the same position (1.69 eV) as, the narrow electroluminescence peak, which we there- fore identify as the Xo emission. The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).","The dominant photoluminescence feature at Vg . 0, which shifts from 1.663 eV to 1.625 eV as Vg increases from 0 to þ8 V, is due to X2 (of which there are multiple species16).",90/10.1038/nnano.2014.26,*None*,*None*,*None*,0,0,0
"The dominant feature in the photoluminescence at Vg , 0 is due to Xþ. This aligns with the high-energy shoulder (grey arrow) on the broad electroluminescence feature at ≏1.670 eV. There is also a band of emission from impurity-bound excitons (XI) in the photo- luminescence, which matches the lower-energy electroluminescence feature centred at 1.59 eV. The ﬁnding that X2 dominates the electroluminescence in Fig. 4a is consistent with the observation that X2 has much stronger photoluminescence than the other exciton species (Fig. 4b).","This aligns with the high-energy shoulder (grey arrow) on the broad electroluminescence feature at ≏1.670 eV. There is also a band of emission from impurity-bound excitons (XI) in the photo- luminescence, which matches the lower-energy electroluminescence feature centred at 1.59 eV. The ﬁnding that X2 dominates the electroluminescence in Fig. 4a is consistent with the observation that X2 has much stronger photoluminescence than the other exciton species (Fig. 4b).",90/10.1038/nnano.2014.26,None,None,None,0,0,0
