original_index,positive_sentences,integrated_sentences,doi
61/157,"In particular, an isolated energy level of a localized state has a vanishing exponent, α = 0, while inside an absolutely continuous spectrum, which conﬁrms extended states, α = 1.","While α represents the local dimension of the energy spectrum, it also characterizes the localization character of the eigenfunction of the energy level Er. In particular, an isolated energy level of a localized state has a vanishing exponent, α = 0, while inside an absolutely continuous spectrum, which conﬁrms extended states, α = 1.",185/10.1103/PhysRevLett.85.4924
70/157,"We employ the tight-binding model on this atomic chain, tΨj−1 + VjΨj + tΨj+1 = EΨj, where we assume that t = −1 for the transfer integrals and VX = 0 and VY = V for the relevant site energies.","More remarkably, the chain is invariant against the exchange of two types of atoms, X and Y. We employ the tight-binding model on this atomic chain, tΨj−1 + VjΨj + tΨj+1 = EΨj, where we assume that t = −1 for the transfer integrals and VX = 0 and VY = V for the relevant site energies.",185/10.1103/PhysRevLett.85.4924
105/157,"It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels only accumulate from one side, gives the equivalent ﬁxed point of the 7D map to that of the the ground state level.","The map being reduced to the subspace is essentially the same as above. It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels only accumulate from one side, gives the equivalent ﬁxed point of the 7D map to that of the the ground state level.",185/10.1103/PhysRevLett.85.4924
113/157,"The present report is summarized as follows: i) 1D QLs can be classiﬁed into an inﬁnite number of MLD classes, which are distinguished from each other by the inﬂation rules of their representatives, and ii) there exists a “type II” MLD class whose electronic properties are characterized by the presence of marginal critical states.","We should remark, however, that an indication of an unusual electronic property of a circle sequence was ﬁrst reported by Luck [13]. The present report is summarized as follows: i) 1D QLs can be classiﬁed into an inﬁnite number of MLD classes, which are distinguished from each other by the inﬂation rules of their representatives, and ii) there exists a “type II” MLD class whose electronic properties are characterized by the presence of marginal critical states.",185/10.1103/PhysRevLett.85.4924
2/193,"It is shown that NaC2 and MgC2 are metallic and semi conducting, respectively.","Although C K4 is unstable, NaC2 and MgC2 are found to be stable. It is shown that NaC2 and MgC2 are metallic and semi conducting, respectively.",66/10.1016/j.cplett.2011.02.042
27/193,"For these calculations, Brillouin zone integration is performed for 8×8×8 k-point meshes generated by the Monkhorst-Pack scheme.","(2) Binding energy versus volume curve is evalu- ated and ﬁtted using Murnaghan’s equation of state14. For these calculations, Brillouin zone integration is performed for 8×8×8 k-point meshes generated by the Monkhorst-Pack scheme.",66/10.1016/j.cplett.2011.02.042
78/193,"From the above discussions and Fig. 2(a), the intermediate value of a realized for the compounds with X in 3rd (4th) (4.5-4.8 ˚A ) and the accompanied inter- atomic distances in these crystals seem to make the band narrower.","Although signiﬁcant larger (smaller) d C-C / d X-X, d X-C / d X-X, and d C-CC / d X-X (d C-CA / d X-X) are shown in the crystals with X=C, N, and O, these ratios are almost constant in the same group of X. In Figure 3, the phonon density of states(DOS) with- out step (4) for C and XC2 (X=H, Li, Be, B, C, N, O, F, Na, Mg, Al, Si, P, S, Cl, K, Ca, Ga, Ge, As, Se, Br, Rb or Sr), Si and SrSi2 with K4 type ﬂame of C or Si are depicted. From the above discussions and Fig. 2(a), the intermediate value of a realized for the compounds with X in 3rd (4th) (4.5-4.8 ˚A ) and the accompanied inter- atomic distances in these crystals seem to make the band narrower.",66/10.1016/j.cplett.2011.02.042
124/193,"Figure 7 shows the electron band structures, DOS, and local DOS of valence electrons for the atoms composing K4 type ﬂame and the intercalated atoms in the fully op- timized C, NaC2 and MgC2 and the Si and SrSi2 crystals, respectively.","As shown in this ﬁgure, the compounds have speciﬁc XRD peaks at larger 2θ compared with the pure K4 crystals. Figure 7 shows the electron band structures, DOS, and local DOS of valence electrons for the atoms composing K4 type ﬂame and the intercalated atoms in the fully op- timized C, NaC2 and MgC2 and the Si and SrSi2 crystals, respectively.",66/10.1016/j.cplett.2011.02.042
134/193,"The NaC2 and MgC2 are found to be metallic and semi conducting, respectively.","The discriminative stabil- ity seems to be realized by the properous atomic radii of X and the completion or near completion of the electronic shell of the each C atom in the K4 type ﬂame by X=IA or IIA. The NaC2 and MgC2 are found to be metallic and semi conducting, respectively.",66/10.1016/j.cplett.2011.02.042
5/396,"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density.","The intraband branch is gapless and has a q1/2 dispersion. It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density.",142/10.1103/PhysRevB.107.115168
6/396,The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.,"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
15/396,"In recent works, the possible protected band de- generacies were systematically classiﬁed for all magnetic space groups [19–23].","For instance, in three dimensional (3D) materials, sta- ble degeneracy manifolds may take the form of nodal points [5–11], nodal lines [12–15], or nodal surfaces [16– 18]. In recent works, the possible protected band de- generacies were systematically classiﬁed for all magnetic space groups [19–23].",142/10.1103/PhysRevB.107.115168
23/396,(3) There are other extraneous band coexist- ing at Fermi energy.,(2) Points on the nodal line have a large variation in energy. (3) There are other extraneous band coexist- ing at Fermi energy.,142/10.1103/PhysRevB.107.115168
31/396,"While the speciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].","More interesting, this fam- ily belongs to so-called composition-tunable materials, i.e., there exist a series of stoichiometric members with the formula Nb2n+1SinTe4n+2, or equivalently NbSixTe2 with x = n/(2n + 1) ∈[1/3, 1/2] [37, 39–41]. While the speciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].",142/10.1103/PhysRevB.107.115168
32/396,"It was found that the low-energy bands that make the nodal line are mainly from an array of NbTe2 chains, which can be well captured by a 2D Su-Schrieﬀer-Heeger (SSH) like model [36].","While the speciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34]. It was found that the low-energy bands that make the nodal line are mainly from an array of NbTe2 chains, which can be well captured by a 2D Su-Schrieﬀer-Heeger (SSH) like model [36].",142/10.1103/PhysRevB.107.115168
43/396,"Meanwhile, the two interband branches are gapped and are connected to the van Hove singularities of the band structure.","The scaling of plas- mon frequency with carrier density n (or Fermi energy) depends on the propagation direction, which crossovers from ∼n0 normal to the nodal line to ∼n along the line. Meanwhile, the two interband branches are gapped and are connected to the van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
63/396,(c-d) Band structure of the model.,The nodal line at the boundary of BZ is highlighted in red. (c-d) Band structure of the model.,142/10.1103/PhysRevB.107.115168
70/396,"It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.","In comparison, here, the two hopping amplitudes must be equal, as dictated by the ˜ My sym- metry. It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.",142/10.1103/PhysRevB.107.115168
83/396,"In the current model, this nodal line must be formed by the crossing of the two bands.","Therefore, the bands on the X-M path must be doubly degenerate, and this dictates the presence of a nodal line along this path, as indicated in Fig. 1(b). In the current model, this nodal line must be formed by the crossing of the two bands.",142/10.1103/PhysRevB.107.115168
87/396,"The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1.","After Fourier transform to momentum space, we have H(k) = t  0 1 + e−ikxℓx 1 + eikxℓx 0  + t′  0 e−ikyℓy(1 + e−ikxℓx) eikyℓy(1 + eikxℓx) 0  , (6) where the ﬁrst term corresponds to the intrachain cou- pling, and the second term corresponds to the interchain coupling. The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1.",142/10.1103/PhysRevB.107.115168
88/396,"The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.","The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1. The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.",142/10.1103/PhysRevB.107.115168
89/396,"The band structure of the model is plotted in Fig. 1(c-d), from which one can visualize the nodal line at the BZ bound- ary.","The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy. The band structure of the model is plotted in Fig. 1(c-d), from which one can visualize the nodal line at the BZ bound- ary.",142/10.1103/PhysRevB.107.115168
92/396,This conﬁrms the Dirac type linear band crossing at the nodal line.,"Then, to the linear order in q, i.e., the deviation from k∗, we have Es,k∗(q) ≈−sℏvF (k∗)qx, (8) where vF (k∗) = ℓx  t2 + 2tt′ cos(kyℓy) + t′21/2 /ℏ (9) is the Fermi velocity along kx direction at the k∗point. This conﬁrms the Dirac type linear band crossing at the nodal line.",142/10.1103/PhysRevB.107.115168
109/396,"Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.","Here, we evaluate ε (q, ω) for our 2D Dirac SSH model using the random phase approximation (RPA), so that ε (q, ω) = 1 −vqχ0 (q, ω) , (13) where vq = 2πe2 κq the Fourier component of Coulomb po- tential in 2D , κ is the background dielectric constant, and4 χ0 is the single-particle polarization function. Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.",142/10.1103/PhysRevB.107.115168
110/396,"Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are sep- arated in energy.","Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime. Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are sep- arated in energy.",142/10.1103/PhysRevB.107.115168
123/396,"First, it is gapless with a ω ∼√q dis- persion, which is characteristic for 2D systems, such as 2D electron gas and graphene.","There are several notable features of this intraband plasmon branch. First, it is gapless with a ω ∼√q dis- persion, which is characteristic for 2D systems, such as 2D electron gas and graphene.",142/10.1103/PhysRevB.107.115168
141/396,"Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next subsection.","One observes that the second term in (18) gives a correc- tion for the intraband contribution. Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next subsection.",142/10.1103/PhysRevB.107.115168
175/396,"However, for other directions, especially the y direction, interband contributions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is diﬃcult to get simple analytic result.","B. Interband plasmons From the overlap form factor in (18), we notice that along the x direction, only intraband plasmons exist. However, for other directions, especially the y direction, interband contributions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is diﬃcult to get simple analytic result.",142/10.1103/PhysRevB.107.115168
177/396,"Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such inter- band plasmons are most pronounced.","In the following, we shall proceed with numerical calculation of the Dirac SSH model. Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such inter- band plasmons are most pronounced.",142/10.1103/PhysRevB.107.115168
180/396,The two upper branches are the interband plasmons.,3. (a) Plasmon spectrum along the nodal line. The two upper branches are the interband plasmons.,142/10.1103/PhysRevB.107.115168
188/396,They correspond to the interband plasmons.,there are two other gapped branches at much higher fre- quencies. They correspond to the interband plasmons.,142/10.1103/PhysRevB.107.115168
189/396,"As we mentioned, these interband modes are related to interband virtual transitions in the band structure.","They correspond to the interband plasmons. As we mentioned, these interband modes are related to interband virtual transitions in the band structure.",142/10.1103/PhysRevB.107.115168
190/396,"Ac- tually, one can see that the long wavelength limit of the two branches encode the information of the van Hove sin- gularities of the Dirac SSH band structure.","As we mentioned, these interband modes are related to interband virtual transitions in the band structure. Ac- tually, one can see that the long wavelength limit of the two branches encode the information of the van Hove sin- gularities of the Dirac SSH band structure.",142/10.1103/PhysRevB.107.115168
193/396,"In the plasmon spectrum, ω1 and ω2 are exactly the limit- ing values of the two interband branches in the q →0 limit.","It is more convenient to visualize these two frequencies as corresponding to the singularities in the joint density of states (JDOS), as shown in Fig 3(c). In the plasmon spectrum, ω1 and ω2 are exactly the limit- ing values of the two interband branches in the q →0 limit.",142/10.1103/PhysRevB.107.115168
195/396,Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′.,"(Here, the intensity of the peak vanishes, because the form factor is zero in this limit.) With increasing q, the frequency of the upper branch decreases and the lower branch increases, and the two merge at q = π/ℓy, corresponding to the interband transitions from Γ to Y or from Y to Γ, owing to the particle-hole symmetry of the model. Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′.",142/10.1103/PhysRevB.107.115168
196/396,"This can be easily understood by noting that this width scales with the electronic band energy variation along ky which is governed by t′. In Fig. 3(d), we plot the plasmon spectrum at a decreased value of t′ FIG.","Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′. This can be easily understood by noting that this width scales with the electronic band energy variation along ky which is governed by t′. In Fig. 3(d), we plot the plasmon spectrum at a decreased value of t′ FIG.",142/10.1103/PhysRevB.107.115168
203/396,"Indeed, one observes that the interband branches become ﬂatter. IV.","as compared to Fig. 3(a). Indeed, one observes that the interband branches become ﬂatter. IV.",142/10.1103/PhysRevB.107.115168
217/396,"(b-d) Band structures of (Nb2SiTe4)n(NbTe2) with n = 1, 2, 3.","5. (a) BZ of NbSixTe2 family materials. (b-d) Band structures of (Nb2SiTe4)n(NbTe2) with n = 1, 2, 3.",142/10.1103/PhysRevB.107.115168
222/396,"The obtained band structures are plotted in Fig. 5, which agree with previous results [34].","Previous works showed that the spin-orbit coupling is weak in these materi- als [33, 34, 36], so it is neglected in our calculation. The obtained band structures are plotted in Fig. 5, which agree with previous results [34].",142/10.1103/PhysRevB.107.115168
223/396,"One observes that the three band structures share similar features, with a non- symmorphic nodal line close to the Fermi level on the X-M path, formed by the crossing of two bands.","The obtained band structures are plotted in Fig. 5, which agree with previous results [34]. One observes that the three band structures share similar features, with a non- symmorphic nodal line close to the Fermi level on the X-M path, formed by the crossing of two bands.",142/10.1103/PhysRevB.107.115168
234/396,"The SPE con- tinuum for n = 1 spans a much larger region, because the material’s band structure has a stronger deviation from the Dirac SSH model, as indicated by the red arrows in Fig. 5(b). FIG.","This is due to the overlap with the SPE region [see Fig. 6(a)]. The SPE con- tinuum for n = 1 spans a much larger region, because the material’s band structure has a stronger deviation from the Dirac SSH model, as indicated by the red arrows in Fig. 5(b). FIG.",142/10.1103/PhysRevB.107.115168
244/396,"One observes that besides the intra- band plasmon branch at low frequency (which are almost entirely suppressed for n = 2, 3, indicating their very small interchain coupling), there are interband branches at higher frequencies.","Next, we plot the plasmon spectra along the y direc- tion in Fig. 7(c). One observes that besides the intra- band plasmon branch at low frequency (which are almost entirely suppressed for n = 2, 3, indicating their very small interchain coupling), there are interband branches at higher frequencies.",142/10.1103/PhysRevB.107.115168
246/396,"Nevertheless, there appear to be more than two inter- band branches, especially for n = 2 and 3.","This agrees with the model result. Nevertheless, there appear to be more than two inter- band branches, especially for n = 2 and 3.",142/10.1103/PhysRevB.107.115168
247/396,"This is due to the presence of other nearby bands in Fig. 5, which also contribute to the interband transitions. Consistent8 FIG.","Nevertheless, there appear to be more than two inter- band branches, especially for n = 2 and 3. This is due to the presence of other nearby bands in Fig. 5, which also contribute to the interband transitions. Consistent8 FIG.",142/10.1103/PhysRevB.107.115168
253/396,"with our model analysis, one can see that the width of the interband branches decreases with n. For n = 2 and 3, these branches become very ﬂat, again reﬂecting the weak interchain coupling.","We set EF = 0 and the qy is in unit of 2πℓ−1 y . with our model analysis, one can see that the width of the interband branches decreases with n. For n = 2 and 3, these branches become very ﬂat, again reﬂecting the weak interchain coupling.",142/10.1103/PhysRevB.107.115168
257/396,"In addition, there exist several other isostructural materi- als, including TaSixTe2, NbGexTe2, and TaGexTe2, with the similar nodal-line band structure [31, 40, 41].","Their high-quality 2D ul- trathin layers have been demonstrated in experiment [38]. In addition, there exist several other isostructural materi- als, including TaSixTe2, NbGexTe2, and TaGexTe2, with the similar nodal-line band structure [31, 40, 41].",142/10.1103/PhysRevB.107.115168
261/396,"It was demonstrated that the technique can reach a resolution of a few meV and the detected frequency range can reach ∼1 eV [60, 61].","Particularly, the high-resolution EELS provides a power- ful tool for mapping out the plasmon spectrum. It was demonstrated that the technique can reach a resolution of a few meV and the detected frequency range can reach ∼1 eV [60, 61].",142/10.1103/PhysRevB.107.115168
280/396,"Using the Dirac SSH model, we show that the system possess two kinds of plasmons: the gapless intraband plasmons and the gapped interband plasmons.","In conclusion, we discover interesting plasmon proper- ties in a class of 2D nonsymmorphic nodal-line TSMs. Using the Dirac SSH model, we show that the system possess two kinds of plasmons: the gapless intraband plasmons and the gapped interband plasmons.",142/10.1103/PhysRevB.107.115168
283/396,"Normal to the nodal line, the dispersion is strongest and is independent of carrier density; whereas along the nodal line, the dispersion is largely suppressed and is linear in the carrier density.","The disper- sion and the carrier density scaling are highly anisotropic. Normal to the nodal line, the dispersion is strongest and is independent of carrier density; whereas along the nodal line, the dispersion is largely suppressed and is linear in the carrier density.",142/10.1103/PhysRevB.107.115168
