original_index,positive_sentences,integrated_sentences,doi
45/205,All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.,"Moreover, the electron density due to the ﬁeld eﬀect increases with Vg in contrast to the observed be- havior in Fig. 1 (c). All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.",181/10.1103/PhysRevLett.119.237002
83/205,"In general, the LaAlO3/SrTiO3 interface has a com- plicated band structure involving multiple contributions from the titanium d bands [31, 32].","HSO from weak antilocalization [Fig. 3 (c)] shows nonmonotonic behavior similar to εSO inferred from superconductivity [Fig. 3 (b)], and, further- more, they have maximum value at the same gate voltage as Tc. In general, the LaAlO3/SrTiO3 interface has a com- plicated band structure involving multiple contributions from the titanium d bands [31, 32].",181/10.1103/PhysRevLett.119.237002
98/205,All these ob- servations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,The inset shows τSO as a function of τ −1 along with the solid line as a guide to the eye. of Tc (and Hc∥) dome lies close to this Vg. All these ob- servations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,181/10.1103/PhysRevLett.119.237002
99/205,"This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) inter- faces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg.","All these ob- servations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg. This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) inter- faces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg.",181/10.1103/PhysRevLett.119.237002
100/205,"It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35].","This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) inter- faces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg. It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35].",181/10.1103/PhysRevLett.119.237002
101/205,"This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.","It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35]. This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.",181/10.1103/PhysRevLett.119.237002
115/205,We suggest that the crystalline spin-5 orbit interaction becomes important close to an avoided band crossing region.,The Hc∥exceeds the Chandrasekhar-Clogston limit by more than an order of magnitude due to a strong spin- orbit interaction. We suggest that the crystalline spin-5 orbit interaction becomes important close to an avoided band crossing region.,181/10.1103/PhysRevLett.119.237002
116/205,"In this regime orbital mixing can lead to enhanced spin-orbit interaction and superconduc- tivity, which become weaker as Vg is tuned away from this avoided band crossing regime.","We suggest that the crystalline spin-5 orbit interaction becomes important close to an avoided band crossing region. In this regime orbital mixing can lead to enhanced spin-orbit interaction and superconduc- tivity, which become weaker as Vg is tuned away from this avoided band crossing regime.",181/10.1103/PhysRevLett.119.237002
170/205,"As discussed in the manuscript, one of them should be a hole band while the other is a electron band.","TWO-BAND ANALYSIS OF HALL DATA We have analysed the Hall data (Fig. S1) using a simpliﬁed two band model with no interaction eﬀects. As discussed in the manuscript, one of them should be a hole band while the other is a electron band.",181/10.1103/PhysRevLett.119.237002
178/205,1.0 1.5 2.0 2.5 3.0 -45 -30 -15 0 15 30 0 200 400 600 0 2 4 6 8 10 12 14 -250 -200 -150 -100 -50 0 h (c) (b) n (10 13 cm -2) (a) e nh ne (cm 2V -1s -1) Vg (V) Rxy () H (T) -50 V -40 V -30 V -25 V -20 V -15 V -10 V -5 V 0 V 5 V 10 V 15 V 20 V Two Band Hall FIG. S1.,"Using all these expressions, we have extracted nh(e) and µh(e) [See Fig. S1 (a,b)]. 1.0 1.5 2.0 2.5 3.0 -45 -30 -15 0 15 30 0 200 400 600 0 2 4 6 8 10 12 14 -250 -200 -150 -100 -50 0 h (c) (b) n (10 13 cm -2) (a) e nh ne (cm 2V -1s -1) Vg (V) Rxy () H (T) -50 V -40 V -30 V -25 V -20 V -15 V -10 V -5 V 0 V 5 V 10 V 15 V 20 V Two Band Hall FIG. S1.",181/10.1103/PhysRevLett.119.237002
179/205,The gate dependance of carrier density (a) and mobility (b) for electron and hole band extracted from two band model.,1.0 1.5 2.0 2.5 3.0 -45 -30 -15 0 15 30 0 200 400 600 0 2 4 6 8 10 12 14 -250 -200 -150 -100 -50 0 h (c) (b) n (10 13 cm -2) (a) e nh ne (cm 2V -1s -1) Vg (V) Rxy () H (T) -50 V -40 V -30 V -25 V -20 V -15 V -10 V -5 V 0 V 5 V 10 V 15 V 20 V Two Band Hall FIG. S1. The gate dependance of carrier density (a) and mobility (b) for electron and hole band extracted from two band model.,181/10.1103/PhysRevLett.119.237002
182/205,This can be due to more complicated eﬀects such as splitting of the electron band into two spin states with an avoided band crossing due to spin-orbit interaction.,"However, we see more deviation with increasing ﬁeld. This can be due to more complicated eﬀects such as splitting of the electron band into two spin states with an avoided band crossing due to spin-orbit interaction.",181/10.1103/PhysRevLett.119.237002
185/205,Despite its simplicity our analysis provides the parameter regimes for the electron and hole bands and the qualitative trend of these parameters.,"We want to point out that, in order to perform a more accurate analysis, one needs additional measurements such as Shubnikov-de Haas oscillations, which can accurately determine the carrier density in the mobile band [S1]. Despite its simplicity our analysis provides the parameter regimes for the electron and hole bands and the qualitative trend of these parameters.",181/10.1103/PhysRevLett.119.237002
197/205,"However, the exact dependencies of these parameters on other measurable transport parameters (like RS, nS etc.) are much more complicated due to multiband charge transport.","A and C are related to the mobility (µ) and as expected increases with µ when the gate voltage Vg is increased. However, the exact dependencies of these parameters on other measurable transport parameters (like RS, nS etc.) are much more complicated due to multiband charge transport.",181/10.1103/PhysRevLett.119.237002
6/308,We interpret our ﬁndings in terms of the electronic structure of the alloys.,"Trends in the elastic properties of chemical systems are analyzed using force constants, electronic densi- ties of state and Crystal Overlap Hamilton Populations. We interpret our ﬁndings in terms of the electronic structure of the alloys.",160/10.1103/PhysRevB.89.104103
12/308,"First principles computational methods prove fruitful, owing to their chemical speciﬁcity and absence of ad- justable parameters, as well as the insight they yield into electronic structure.","Empirical methods for predicting stoichiometries with desired properties are therefore necessary. First principles computational methods prove fruitful, owing to their chemical speciﬁcity and absence of ad- justable parameters, as well as the insight they yield into electronic structure.",160/10.1103/PhysRevB.89.104103
75/308,"One cal- culates matrix elements ⟨αL|H|βL′⟩of the density func- tional theory Hamiltonian between localized atomic or- bitals L and L′ on a pair of atoms α and β, then multi- plies by the density of states NαL,βL′ projected onto the two orbitals.","The COHP provides an electronic structure-based characterization of interatomic bond strength31. One cal- culates matrix elements ⟨αL|H|βL′⟩of the density func- tional theory Hamiltonian between localized atomic or- bitals L and L′ on a pair of atoms α and β, then multi- plies by the density of states NαL,βL′ projected onto the two orbitals.",160/10.1103/PhysRevB.89.104103
204/308,"To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7).","Thus these substitutions have enhanced the bonding nature of the electronic states. To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7).",160/10.1103/PhysRevB.89.104103
205/308,"The low-energy peak near -4 or -5 eV consists of sd-hybrid orbitals, followed by a series of higher-energy peaks con- sisting solely of d orbitals, with the Fermi level lying in the middle of the ETM d-band and at or above the top of the LTM d-band.","To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7). The low-energy peak near -4 or -5 eV consists of sd-hybrid orbitals, followed by a series of higher-energy peaks con- sisting solely of d orbitals, with the Fermi level lying in the middle of the ETM d-band and at or above the top of the LTM d-band.",160/10.1103/PhysRevB.89.104103
225/308,-10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG.,"R are average bond lengths for nearest neighbors under 4 ˚A. k are averaged over atoms (i.e. weighted by the number of bonds per atom) in units eV/˚A2, ρCOHP is iCOHP volume density in units eV/˚A3, and K is the calculated bulk moduli in units GPa. -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG.",160/10.1103/PhysRevB.89.104103
227/308,Line segments indicate the mean and standard deviations of the element projected d-bands.,7: Electronic densities of states for hR13 structures. Line segments indicate the mean and standard deviations of the element projected d-bands.,160/10.1103/PhysRevB.89.104103
70/157,"We employ the tight-binding model on this atomic chain, tΨj−1 + VjΨj + tΨj+1 = EΨj, where we assume that t = −1 for the transfer integrals and VX = 0 and VY = V for the relevant site energies.","More remarkably, the chain is invariant against the exchange of two types of atoms, X and Y. We employ the tight-binding model on this atomic chain, tΨj−1 + VjΨj + tΨj+1 = EΨj, where we assume that t = −1 for the transfer integrals and VX = 0 and VY = V for the relevant site energies.",185/10.1103/PhysRevLett.85.4924
91/157,The band width wn of the subcluster of the nth generation is estimated to be wn ≈2|t(n) s |.,Note that τG is the leading eigenvalue of the 2 × 2 matrix associated with the linearized map and c a positive constant depending on V . The band width wn of the subcluster of the nth generation is estimated to be wn ≈2|t(n) s |.,185/10.1103/PhysRevLett.85.4924
105/157,"It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels only accumulate from one side, gives the equivalent ﬁxed point of the 7D map to that of the the ground state level.","The map being reduced to the subspace is essentially the same as above. It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels only accumulate from one side, gives the equivalent ﬁxed point of the 7D map to that of the the ground state level.",185/10.1103/PhysRevLett.85.4924
2/193,"It is shown that NaC2 and MgC2 are metallic and semi conducting, respectively.","Although C K4 is unstable, NaC2 and MgC2 are found to be stable. It is shown that NaC2 and MgC2 are metallic and semi conducting, respectively.",66/10.1016/j.cplett.2011.02.042
78/193,"From the above discussions and Fig. 2(a), the intermediate value of a realized for the compounds with X in 3rd (4th) (4.5-4.8 ˚A ) and the accompanied inter- atomic distances in these crystals seem to make the band narrower.","Although signiﬁcant larger (smaller) d C-C / d X-X, d X-C / d X-X, and d C-CC / d X-X (d C-CA / d X-X) are shown in the crystals with X=C, N, and O, these ratios are almost constant in the same group of X. In Figure 3, the phonon density of states(DOS) with- out step (4) for C and XC2 (X=H, Li, Be, B, C, N, O, F, Na, Mg, Al, Si, P, S, Cl, K, Ca, Ga, Ge, As, Se, Br, Rb or Sr), Si and SrSi2 with K4 type ﬂame of C or Si are depicted. From the above discussions and Fig. 2(a), the intermediate value of a realized for the compounds with X in 3rd (4th) (4.5-4.8 ˚A ) and the accompanied inter- atomic distances in these crystals seem to make the band narrower.",66/10.1016/j.cplett.2011.02.042
124/193,"Figure 7 shows the electron band structures, DOS, and local DOS of valence electrons for the atoms composing K4 type ﬂame and the intercalated atoms in the fully op- timized C, NaC2 and MgC2 and the Si and SrSi2 crystals, respectively.","As shown in this ﬁgure, the compounds have speciﬁc XRD peaks at larger 2θ compared with the pure K4 crystals. Figure 7 shows the electron band structures, DOS, and local DOS of valence electrons for the atoms composing K4 type ﬂame and the intercalated atoms in the fully op- timized C, NaC2 and MgC2 and the Si and SrSi2 crystals, respectively.",66/10.1016/j.cplett.2011.02.042
126/193,"From the bottom energy levels to those around the Fermi level, the band structures are similar in these crystals.","From the bottom energy levels to the upper levels, the angular momentum for the electronic states successively changes in the order of s, p and d character, although every component appears in most states. From the bottom energy levels to those around the Fermi level, the band structures are similar in these crystals.",66/10.1016/j.cplett.2011.02.042
134/193,"The NaC2 and MgC2 are found to be metallic and semi conducting, respectively.","The discriminative stabil- ity seems to be realized by the properous atomic radii of X and the completion or near completion of the electronic shell of the each C atom in the K4 type ﬂame by X=IA or IIA. The NaC2 and MgC2 are found to be metallic and semi conducting, respectively.",66/10.1016/j.cplett.2011.02.042
3/396,There exist both intraband and interband plasmon branches.,We show that the nonsymmorphic character endows the plasmons with extremely strong anisotropy. There exist both intraband and interband plasmon branches.,142/10.1103/PhysRevB.107.115168
4/396,The intraband branch is gapless and has a q1/2 dispersion.,There exist both intraband and interband plasmon branches. The intraband branch is gapless and has a q1/2 dispersion.,142/10.1103/PhysRevB.107.115168
6/396,The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.,"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
11/396,"I. INTRODUCTION In topological semimetals (TSMs), the Fermi surface is consisting of symmetry-protected band degeneracies, such that the low-energy electronic states can have dis- tinct characters in their energy dispersion, pseudospin structure, and interband coherence [1–4].","Our result reveals characteristic plasmons in a class of nonsymmorphic topological semimetals and oﬀers guidance for its experimental detection and possible applications. I. INTRODUCTION In topological semimetals (TSMs), the Fermi surface is consisting of symmetry-protected band degeneracies, such that the low-energy electronic states can have dis- tinct characters in their energy dispersion, pseudospin structure, and interband coherence [1–4].",142/10.1103/PhysRevB.107.115168
15/396,"In recent works, the possible protected band de- generacies were systematically classiﬁed for all magnetic space groups [19–23].","For instance, in three dimensional (3D) materials, sta- ble degeneracy manifolds may take the form of nodal points [5–11], nodal lines [12–15], or nodal surfaces [16– 18]. In recent works, the possible protected band de- generacies were systematically classiﬁed for all magnetic space groups [19–23].",142/10.1103/PhysRevB.107.115168
21/396,(1) The nodal line is far away from the Fermi level.,"However, most of the proposals suﬀer one or more of the following draw- backs. (1) The nodal line is far away from the Fermi level.",142/10.1103/PhysRevB.107.115168
23/396,(3) There are other extraneous band coexist- ing at Fermi energy.,(2) Points on the nodal line have a large variation in energy. (3) There are other extraneous band coexist- ing at Fermi energy.,142/10.1103/PhysRevB.107.115168
31/396,"While the speciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].","More interesting, this fam- ily belongs to so-called composition-tunable materials, i.e., there exist a series of stoichiometric members with the formula Nb2n+1SinTe4n+2, or equivalently NbSixTe2 with x = n/(2n + 1) ∈[1/3, 1/2] [37, 39–41]. While the speciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].",142/10.1103/PhysRevB.107.115168
43/396,"Meanwhile, the two interband branches are gapped and are connected to the van Hove singularities of the band structure.","The scaling of plas- mon frequency with carrier density n (or Fermi energy) depends on the propagation direction, which crossovers from ∼n0 normal to the nodal line to ∼n along the line. Meanwhile, the two interband branches are gapped and are connected to the van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
46/396,"By using ﬁrst-principles calcula- tions, we show that the key features obtained from the model study can indeed manifest in monolayer NbSixTe2, which distinguish the system from conventional metals and doped semiconductors.","The single particle excitations are strongly suppressed in such systems, such that the plasmons may enjoy less damp- ing and longer lifetime. By using ﬁrst-principles calcula- tions, we show that the key features obtained from the model study can indeed manifest in monolayer NbSixTe2, which distinguish the system from conventional metals and doped semiconductors.",142/10.1103/PhysRevB.107.115168
63/396,(c-d) Band structure of the model.,The nodal line at the boundary of BZ is highlighted in red. (c-d) Band structure of the model.,142/10.1103/PhysRevB.107.115168
70/396,"It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.","In comparison, here, the two hopping amplitudes must be equal, as dictated by the ˜ My sym- metry. It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.",142/10.1103/PhysRevB.107.115168
77/396,(3)3 It is important to note that adding the interchain cou- pling does not open a gap in the spectrum.,Combining the two parts gives the whole model H = X j Hj chain + Hinter. (3)3 It is important to note that adding the interchain cou- pling does not open a gap in the spectrum.,142/10.1103/PhysRevB.107.115168
83/396,"In the current model, this nodal line must be formed by the crossing of the two bands.","Therefore, the bands on the X-M path must be doubly degenerate, and this dictates the presence of a nodal line along this path, as indicated in Fig. 1(b). In the current model, this nodal line must be formed by the crossing of the two bands.",142/10.1103/PhysRevB.107.115168
87/396,"The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1.","After Fourier transform to momentum space, we have H(k) = t  0 1 + e−ikxℓx 1 + eikxℓx 0  + t′  0 e−ikyℓy(1 + e−ikxℓx) eikyℓy(1 + eikxℓx) 0  , (6) where the ﬁrst term corresponds to the intrachain cou- pling, and the second term corresponds to the interchain coupling. The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1.",142/10.1103/PhysRevB.107.115168
88/396,"The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.","The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 ·  t2 + 2tt′ cos(kyℓy) + t′21/2 , (7) with s = ±1. The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.",142/10.1103/PhysRevB.107.115168
89/396,"The band structure of the model is plotted in Fig. 1(c-d), from which one can visualize the nodal line at the BZ bound- ary.","The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy. The band structure of the model is plotted in Fig. 1(c-d), from which one can visualize the nodal line at the BZ bound- ary.",142/10.1103/PhysRevB.107.115168
92/396,This conﬁrms the Dirac type linear band crossing at the nodal line.,"Then, to the linear order in q, i.e., the deviation from k∗, we have Es,k∗(q) ≈−sℏvF (k∗)qx, (8) where vF (k∗) = ℓx  t2 + 2tt′ cos(kyℓy) + t′21/2 /ℏ (9) is the Fermi velocity along kx direction at the k∗point. This conﬁrms the Dirac type linear band crossing at the nodal line.",142/10.1103/PhysRevB.107.115168
109/396,"Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.","Here, we evaluate ε (q, ω) for our 2D Dirac SSH model using the random phase approximation (RPA), so that ε (q, ω) = 1 −vqχ0 (q, ω) , (13) where vq = 2πe2 κq the Fourier component of Coulomb po- tential in 2D , κ is the background dielectric constant, and4 χ0 is the single-particle polarization function. Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.",142/10.1103/PhysRevB.107.115168
110/396,"Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are sep- arated in energy.","Explicitly, we have χ0 (q, ω) =g X ss′ Z d2k (2π)2 (fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ℏω + iη , (14) where fsk is the Fermi distribution function for the band eigenstate |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime. Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are sep- arated in energy.",142/10.1103/PhysRevB.107.115168
112/396,"The former (from s = s′) will be referred to as intraband plasmons, and the latter (from s ̸= s′) will be called interband plasmons.","Therefore, in the following, we shall study them separately. The former (from s = s′) will be referred to as intraband plasmons, and the latter (from s ̸= s′) will be called interband plasmons.",142/10.1103/PhysRevB.107.115168
117/396,"It is important to note that for this limit, we have the form factor F k,k+q ss′ = δss′, (15) which means only intraband contribution exists, and the interband contribution is totally suppressed.","Physically, in NbSixTe2 family materials, this limit corresponds to the case with x →1/2. It is important to note that for this limit, we have the form factor F k,k+q ss′ = δss′, (15) which means only intraband contribution exists, and the interband contribution is totally suppressed.",142/10.1103/PhysRevB.107.115168
123/396,"First, it is gapless with a ω ∼√q dis- persion, which is characteristic for 2D systems, such as 2D electron gas and graphene.","There are several notable features of this intraband plasmon branch. First, it is gapless with a ω ∼√q dis- persion, which is characteristic for 2D systems, such as 2D electron gas and graphene.",142/10.1103/PhysRevB.107.115168
141/396,"Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next subsection.","One observes that the second term in (18) gives a correc- tion for the intraband contribution. Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next subsection.",142/10.1103/PhysRevB.107.115168
144/396,Intraband plasmons of Dirac SSH model.,"From this expression, the intraband SPE continuum can be derived as ℏω = Λxqx + Λyqy, (20) where Λx and Λy are functions of k, given by Λx = ℓxt cos kxℓx 2  h 1 + ζ cos (kyℓy) i , (21) Λy = −2ℓyt′ sin kxℓx 2  sin (kyℓy) . (22)5 FIG. 2. Intraband plasmons of Dirac SSH model.",142/10.1103/PhysRevB.107.115168
175/396,"However, for other directions, especially the y direction, interband contributions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is diﬃcult to get simple analytic result.","B. Interband plasmons From the overlap form factor in (18), we notice that along the x direction, only intraband plasmons exist. However, for other directions, especially the y direction, interband contributions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is diﬃcult to get simple analytic result.",142/10.1103/PhysRevB.107.115168
177/396,"Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such inter- band plasmons are most pronounced.","In the following, we shall proceed with numerical calculation of the Dirac SSH model. Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such inter- band plasmons are most pronounced.",142/10.1103/PhysRevB.107.115168
178/396,"One observes that besides the gapless intraband branch at low frequencies,6 FIG.","Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such inter- band plasmons are most pronounced. One observes that besides the gapless intraband branch at low frequencies,6 FIG.",142/10.1103/PhysRevB.107.115168
