,compound,Gap,sentence,source
35,Cr,30meV,"Correspondingly, the band gap is calculated to be 79 and [E2]30 meV[/E2]  respectively, for Gd and Eu doped systems, larger than the reported 22 meV for the [E1]Cr[/E1] doped case [39].",163_10.1103_PhysRevB.94.054113
36,Cr,22meV,"Correspondingly, the band gap is calculated to be 79 and 30 meV, respectively, for Gd and Eu doped systems, larger than the reported [E2]22 meV[/E2] for the [E1]Cr[/E1] doped case [39].",163_10.1103_PhysRevB.94.054113
37,ZnSe,(2.5eV),"Indeed our Zn1xBexSe alloys exhibit large optical band gaps inherited from their parent [E1]ZnSe[/E1] [E2](2.5 eV)[/E2] and BeSe (5.5 eV) compounds,23 and thus are transparent to the (visible) laser beam.",111_10.1063_1.4967315
38,ZnSe,(5.5eV),"Indeed our Zn1xBexSe alloys exhibit large optical band gaps inherited from their parent [E1]ZnSe[/E1] (2.5 eV) and BeSe [E2](5.5 eV)[/E2] compounds,23 and thus are transparent to the (visible) laser beam.",111_10.1063_1.4967315
39,BeSe,(2.5eV),"Indeed our Zn1xBexSe alloys exhibit large optical band gaps inherited from their parent ZnSe [E2](2.5 eV)[/E2] and [E1]BeSe[/E1] (5.5 eV) compounds,23 and thus are transparent to the (visible) laser beam.",111_10.1063_1.4967315
40,BeSe,(5.5eV),"Indeed our Zn1xBexSe alloys exhibit large optical band gaps inherited from their parent ZnSe (2.5 eV) and [E1]BeSe[/E1] [E2](5.5 eV)[/E2] compounds,23 and thus are transparent to the (visible) laser beam.",111_10.1063_1.4967315
41,LTO,(2.45eV),"Based on the tight-binding calcu- lations which include the effect of TiO6 distortions [21], the conduction band width of [E1]LTO[/E1] [E2](2.45 eV)[/E2] is 19.6% larger than that of YTO (2.04 eV), which is a consequence of the larger Ti-O-Ti bond angle in LTO vs YTO.",189_10.1103_PhysRevMaterials.4.104008
42,LTO,(2.04eV),"Based on the tight-binding calcu- lations which include the effect of TiO6 distortions [21], the conduction band width of [E1]LTO[/E1] (2.45 eV) is 19.6% larger than that of YTO [E2](2.04 eV)[/E2]  which is a consequence of the larger Ti-O-Ti bond angle in LTO vs YTO.",189_10.1103_PhysRevMaterials.4.104008
43,LTO,(2.45eV),"Based on the tight-binding calcu- lations which include the effect of TiO6 distortions [21], the conduction band width of [E1]LTO[/E1] [E2](2.45 eV)[/E2] is 19.6% larger than that of YTO (2.04 eV), which is a consequence of the larger Ti-O-Ti bond angle in LTO vs YTO.",189_10.1103_PhysRevMaterials.4.104008
44,LTO,(2.04eV),"Based on the tight-binding calcu- lations which include the effect of TiO6 distortions [21], the conduction band width of [E1]LTO[/E1] (2.45 eV) is 19.6% larger than that of YTO [E2](2.04 eV)[/E2]  which is a consequence of the larger Ti-O-Ti bond angle in LTO vs YTO.",189_10.1103_PhysRevMaterials.4.104008
45,YTO,(2.45eV),"Based on the tight-binding calcu- lations which include the effect of TiO6 distortions [21], the conduction band width of LTO [E2](2.45 eV)[/E2] is 19.6% larger than that of [E1]YTO[/E1] (2.04 eV), which is a consequence of the larger Ti-O-Ti bond angle in LTO vs YTO.",189_10.1103_PhysRevMaterials.4.104008
