,compound,Gap,sentence,source
23,OSH,4,"The calculated binding energy of OS and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for [E1]OSH[/E1] and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
24,OSH,37,"The calculated binding energy of OS and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for [E1]OSH[/E1] and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
25,OSH,27,"The calculated binding energy of OS and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for [E1]OSH[/E1] and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
26,HBC,4,"The calculated binding energy of OS and [E1]HBC[/E1] is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
27,HBC,37,"The calculated binding energy of OS and [E1]HBC[/E1] is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
28,HBC,27,"The calculated binding energy of OS and [E1]HBC[/E1] is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
29,OSH2,4,"The calculated binding energy of OS and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form [E1]OSH2[/E1] when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
30,OSH2,37,"The calculated binding energy of OS and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form [E1]OSH2[/E1] when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
31,OSH2,27,"The calculated binding energy of OS and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form [E1]OSH2[/E1] when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
32,OV,4,"The calculated binding energy of OS and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of [E1]OV[/E1]  OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
33,OV,37,"The calculated binding energy of OS and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of [E1]OV[/E1]  OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
34,OV,27,"The calculated binding energy of OS and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of [E1]OV[/E1]  OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
35,OVH,4,"The calculated binding energy of OS and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV [E1] OVH[/E1]  and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
36,OVH,37,"The calculated binding energy of OS and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV [E1] OVH[/E1]  and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
37,OVH,27,"The calculated binding energy of OS and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV [E1] OVH[/E1]  and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
38,OVH2,4,"The calculated binding energy of OS and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and [E1]OVH2[/E1] with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
39,OVH2,37,"The calculated binding energy of OS and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and [E1]OVH2[/E1] with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
40,OVH2,27,"The calculated binding energy of OS and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and [E1]OVH2[/E1] with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
41,HBC,4,"The calculated binding energy of OS and [E1]HBC[/E1] is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
42,HBC,37,"The calculated binding energy of OS and [E1]HBC[/E1] is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
43,HBC,27,"The calculated binding energy of OS and [E1]HBC[/E1] is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
44,Ag3AuSe2,13.8meVto60meV,"Fig. 2 shows that the gap of [E1]Ag3AuSe2[/E1] increases from [E2]13.8 meV to 60 meV[/E2] for a compression of 2%, and reaches 200 meV for a compressionSpectral and optical properties of Ag3Au(Se2,Te2) and dark matter detection 4 Figure 1.",129_10.1088_2515-7639_ab3ea2
45,Ag3AuSe2,200meV,"Fig. 2 shows that the gap of [E1]Ag3AuSe2[/E1] increases from 13.8 meV to 60 meV for a compression of 2%, and reaches [E2]200 meV[/E2] for a compressionSpectral and optical properties of Ag3Au(Se2,Te2) and dark matter detection 4 Figure 1.",129_10.1088_2515-7639_ab3ea2
48,Bi2Se3,0.30eV,"The band gap for defect-free [E1]Bi2Se3[/E1] is [E2]0.30 eV[/E2]  This  value is reduced to 30 and 79 meV, respectively, for Eu- and  Gd-doped systems (see SI for detailed discussion on the reliability  of the obtained band gap).",163_10.1103_PhysRevB.94.054113
49,Bi2Se3,30,"The band gap for defect-free [E1]Bi2Se3[/E1] is 0 [E2]30[/E2] eV. This  value is reduced to 30 and 79 meV, respectively, for Eu- and  Gd-doped systems (see SI for detailed discussion on the reliability  of the obtained band gap).",163_10.1103_PhysRevB.94.054113
50,Bi2Se3,79meV,"The band gap for defect-free [E1]Bi2Se3[/E1] is 0.30 eV. This  value is reduced to 30 and [E2]79 meV[/E2]  respectively, for Eu- and  Gd-doped systems (see SI for detailed discussion on the reliability  of the obtained band gap).",163_10.1103_PhysRevB.94.054113
52,LTO,to,"As seen in the inset of Fig. 4, the carrier density is almost temperature-independent at 6.5×1014 cm−2, whereas the car- rier mobility increases from 2.3 [E2]to[/E2] 4.7 cm2V−1s−1 from 300 to 3 K, values ∼3 times larger than those of the previously- reported CTO/YTO superlattice.20 Based on the tight-binding calculations with the effect of TiO6 distortion,21 the conduc- tion band width of [E1]LTO[/E1] (2.45 eV) is 19.6% larger than that of YTO (2.04 eV), a consequence of the larger Ti-O-Ti bond angle in LTO than in YTO.",189_10.1103_PhysRevMaterials.4.104008
53,LTO,45,"As seen in the inset of Fig. 4, the carrier density is almost temperature-independent at 6.5×1014 cm−2, whereas the car- rier mobility increases from 2.3 to 4.7 cm2V−1s−1 from 300 to 3 K, values ∼3 times larger than those of the previously- reported CTO/YTO superlattice.20 Based on the tight-binding calculations with the effect of TiO6 distortion,21 the conduc- tion band width of [E1]LTO[/E1] (2 [E2]45[/E2] eV) is 19.6% larger than that of YTO (2.04 eV), a consequence of the larger Ti-O-Ti bond angle in LTO than in YTO.",189_10.1103_PhysRevMaterials.4.104008
54,LTO,04,"As seen in the inset of Fig. 4, the carrier density is almost temperature-independent at 6.5×1014 cm−2, whereas the car- rier mobility increases from 2.3 to 4.7 cm2V−1s−1 from 300 to 3 K, values ∼3 times larger than those of the previously- reported CTO/YTO superlattice.20 Based on the tight-binding calculations with the effect of TiO6 distortion,21 the conduc- tion band width of [E1]LTO[/E1] (2.45 eV) is 19.6% larger than that of YTO (2 [E2]04[/E2] eV), a consequence of the larger Ti-O-Ti bond angle in LTO than in YTO.",189_10.1103_PhysRevMaterials.4.104008
55,Mg,to,"In WZ phase, the same trend is observed for the peak values of the extinction coefficient  parallel [E2]to[/E2] the c-axis from 14.84 eV to 17.62 eV while in the perpendicular part it decreases with  the increase in the [E1]Mg[/E1] concentration, from 13.67 eV to 12.20 eV. The anisotropy found in the  parallel and perpendicular parts of the extinction coefficient for WZ-ZnO is in the range 6.8 eV  to 17.5 eV and in WZ-MgO 6.89 eV to 29 eV, while the ternary alloys are isotropic for most of  the energies.",76_10.1016_j.physb.2011.04.004
56,Mg,to,"In WZ phase, the same trend is observed for the peak values of the extinction coefficient  parallel [E2]to[/E2] the c-axis from 14.84 eV to 17.62 eV while in the perpendicular part it decreases with  the increase in the [E1]Mg[/E1] concentration, from 13.67 eV to 12.20 eV. The anisotropy found in the  parallel and perpendicular parts of the extinction coefficient for WZ-ZnO is in the range 6.8 eV  to 17.5 eV and in WZ-MgO 6.89 eV to 29 eV, while the ternary alloys are isotropic for most of  the energies.",76_10.1016_j.physb.2011.04.004
